4096;128;32.8351;9.75742e+09;3.1506e+10
4096;256;39.1821;9.10485e+09;2.20559e+10
4096;512;45.2311;8.77152e+09;1.92163e+10
4096;1024;47.4442;8.80238e+09;1.83781e+10
6144;128;117.913;3.29744e+10;1.03993e+11
6144;256;107.006;3.06912e+10;7.59864e+10
6144;512;116.727;2.96771e+10;6.53979e+10
6144;1024;149.073;2.97677e+10;6.27798e+10
8192;128;309.906;7.82216e+10;2.47361e+11
8192;256;373.153;7.29943e+10;1.69283e+11
8192;512;328.283;7.03179e+10;1.53799e+11
8192;1024;378.881;7.05435e+10;1.47849e+11
10240;128;552.681;1.52664e+11;4.83029e+11
10240;256;498.977;1.42068e+11;3.47056e+11
10240;512;582.795;1.37166e+11;2.94257e+11
10240;1024;717.817;1.37828e+11;2.89148e+11
