4096;128;1.64519e+11;4.87005e+11
4096;256;1.51496e+11;4.84005e+11
4096;512;1.51913e+11;4.82517e+11
4096;1024;1.83795e+11;4.81776e+11
6144;128;5.50433e+11;1.64364e+12
6144;256;5.15497e+11;1.63352e+12
6144;512;5.83e+11;1.62849e+12
6144;1024;6.00622e+11;1.62599e+12
8192;128;1.515e+12;3.89604e+12
8192;256;1.54323e+12;3.87204e+12
8192;512;1.40471e+12;3.86013e+12
8192;1024;1.45124e+12;3.8542e+12
10240;128;2.54961e+12;7.60946e+12
10240;256;2.36868e+12;7.56258e+12
10240;512;2.5632e+12;7.53932e+12
10240;1024;2.85113e+12;7.52774e+12
